word,N,N1
ganaron,"[['pandilla', 0], ['ganaron', 2.220446049250313e-16], ['orgullosos', 7.771561172376096e-16], ['termino', 4.6629367034256575e-15], ['horribles', 1.3322676295501878e-14]]","[['ganaron', 0], ['pandilla', 1.1102230246251565e-16], ['orgullosos', 8.881784197001252e-16], ['termino', 4.6629367034256575e-15], ['horribles', 1.3322676295501878e-14]]"
guacamayas,"[['guacamaya', 2.220446049250313e-16], ['guacamayas', 2.220446049250313e-16], ['modestamente', 0.00034507896796909243], ['genocida', 0.0006930175794690463], ['chicharrones', 0.0011570325874510345]]","[['guacamaya', 0], ['guacamayas', 0], ['modestamente', 0.0003450789679689814], ['genocida', 0.0006930175794690463], ['chicharrones', 0.0011570325874511456]]"
güey,"[['argüendera', 2.220446049250313e-16], ['avergüenza', 2.220446049250313e-16], ['güey', 2.220446049250313e-16], ['sinvergüenza', 2.220446049250313e-16], ['sinvergüenzas', 2.220446049250313e-16]]","[['argüendera', 0], ['avergüenza', 0], ['güey', 0], ['sinvergüenza', 0], ['sinvergüenzas', 0]]"
hablen,"[['dictador', 0], ['hablen', 0], ['dicta', 6.772360450213455e-15], ['favores', 3.042011087472929e-14], ['ciegos', 4.6074255521943996e-14]]","[['dictador', 0], ['hablen', 0], ['dicta', 6.772360450213455e-15], ['favores', 3.019806626980426e-14], ['ciegos', 4.629630012686903e-14]]"
hahahaha,"[['hahaha', 0], ['hahahaha', 0], ['quejarse', 0.001065273431638758], ['sergeluna_s', 0.0011374784062164744], ['ayotzinapa', 0.002097169314512093]]","[['hahaha', 0], ['hahahaha', 0], ['quejarse', 0.00106527343163898], ['sergeluna_s', 0.0011374784062165855], ['ayotzinapa', 0.002097169314512315]]"
hara,"[['cuestionar', 0], ['hara', 2.220446049250313e-16], ['desperdicio', 3.3306690738754696e-16], ['caros', 1.1102230246251565e-15], ['invento', 1.1102230246251565e-15]]","[['hara', 0], ['cuestionar', 1.1102230246251565e-16], ['desperdicio', 3.3306690738754696e-16], ['caros', 1.3322676295501878e-15], ['invento', 1.3322676295501878e-15]]"
honestamente,"[['criticar', 0], ['honestamente', 2.220446049250313e-16], ['tuberías', 1.2878587085651816e-14], ['echando', 1.9872992140790302e-14], ['torta', 6.228351168147128e-14]]","[['honestamente', 0], ['criticar', 2.220446049250313e-16], ['tuberías', 1.3100631690576847e-14], ['echando', 2.0095036745715333e-14], ['torta', 6.250555628639631e-14]]"
honestidad,"[['espuma', 2.220446049250313e-16], ['honestidad', 2.220446049250313e-16], ['hazme', 4.551914400963142e-15], ['mientas', 5.329070518200751e-15], ['atiende', 8.326672684688674e-15]]","[['honestidad', 0], ['espuma', 3.3306690738754696e-16], ['hazme', 4.773959005888173e-15], ['mientas', 5.551115123125783e-15], ['atiende', 8.43769498715119e-15]]"
ignorar,"[['literal', 0], ['ignorar', 1.1102230246251565e-16], ['masivo', 3.3306690738754696e-16], ['bonitas', 3.108624468950438e-14], ['avanza', 3.397282455352979e-14]]","[['ignorar', 0], ['literal', 1.1102230246251565e-16], ['masivo', 3.3306690738754696e-16], ['bonitas', 3.097522238704187e-14], ['avanza', 3.397282455352979e-14]]"
indira_vizcaino,"[['indira_rs', 2.220446049250313e-16], ['indira_vizcaino', 2.220446049250313e-16], ['indirakempis', 8.172963189956306e-05], ['bocota', 0.00018737570471860643], ['adela_micha', 0.00023538056949157227]]","[['indira_rs', 0], ['indira_vizcaino', 0], ['indirakempis', 8.172963189934102e-05], ['bocota', 0.00018737570471860643], ['adela_micha', 0.00023538056949135022]]"
