Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Alma Delia Navarrete Rivera,Diputada,@AlmaNavarrete9,Estado de México,18-08-29,,,,,M,50,
Sandra Luz Navarro Conkle,Diputada,@MtraSandraNav,Sonora,21-08-29,,,,,M,47,
Carlos Noriega Romero,Diputado,@CarlosNoriegaR,Coahuila,21-08-29,,,,,H,70,
Manuela del Carmen Obrador Narváez,Diputada,,Chiapas,18-08-29,,,,,M,51,
Araceli Ocampo Manzanares,Diputada,@araceli_ocampo_,Guerrero,18-08-29,,,,,M,49,
Cuauhtémoc Ochoa Fernández,Diputado,@cuauhochoa,Hidalgo,21-08-29,,,,,H,51,
Yessenia Leticia Olua González,Diputada,@YenniOlua,Baja California,21-08-29,,,,,M,30,
Sandra Simey Olvera Bautista,Diputada,@ssimey,Hidalgo,18-08-29,,,,,M,39,
Vicente Alberto Onofre Vázquez,Diputado,@Vicente_Onofre_,Estado de México,18-08-29,,,,,H,53,
Pedro David Ortega Fonseca,Diputado,@PedroOrtegaFon,Guanajuato,21-08-29,,,,,H,32,
Carlos Francisco Ortiz Tejeda,Diputado,@ortiztejeda,Ciudad de México,21-08-29,,,,,H,84,
Alejandra Pani Barragán,Diputada,@AlejandraPaniB,Morelos,18-08-29,,,,,M,58,
Inés Parra Juárez,Diputada,@inesparrajuarez,Puebla,18-08-29,,,,,M,44,
Rosangela Amairany Peña Escalante,Diputada,@amairanipe25,Sonora,21-08-29,,,,,M,29,
Pedro Sergio Peñaloza Pérez,Diputado,@MxicoNegro,Guerrero,21-08-29,,,,,H,69,
Lidia Pérez Barcenas,Diputada,@Lidiapbarcenas,Ciudad de México,21-08-29,,,,,M,41,
Jaime Humberto Pérez Bernabe,Diputado,@JaimeHumbertoPB,Veracruz,18-08-29,,,,,H,49,
Marco Antonio Pérez Garibay,Diputado,@AntonioPerezMEX,Jalisco,21-08-29,,,,,H,63,Cuenta análoga oficial eliminada
Blanca Carolina Pérez Gutiérrez,Diputada,,Chiapas,21-08-29,,,,,M,34,
Carlos Augusto Pérez Hernández,Diputado,@Auguscarlos40,Tlaxcala,21-08-29,,,,,H,45,
Beatriz Dominga Pérez López,Diputada,@BettyPerez2015,Oaxaca,21-08-29,,,,,M,47,
Miguel Ángel Pérez Navarrete,Diputado,,Hidalgo,21-08-29,,,,,H,54,
Laura Imelda Pérez Segura,Diputada,@LauraImelPerezS,Jalisco,18-08-29,,,,,M,42,
Yeidckol Polevnsky Gurwitz,Diputada,@yeidckol,Estado de México,21-08-29,,,,,M,64,
Alfredo Porras Domínguez,Diputado,@alfredoporras17,Baja California Sur,18-08-29,,,,,H,65,
Miguel Prado de los Santos,Diputado,@MiguelPradod,Estado de México,18-08-29,,,,,H,38,
